FID,field_number,health_category,category_confidence,date,tsn,organization,geom
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a68,07-81,Other,Unknown,2007-04-06,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a67,ES-2396,Malnutrition,Suspected,2006-06-05,180672,TMMC,POINT (-121.862 36.613)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a66,ES-2506,Infectious Disease - known pathogen,Diagnosed,2005-07-07,180672,TMMC,POINT (-121.877 36.929)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a65,ES-2792,Other,Diagnosed,2008-04-14,180672,TMMC,POINT (-120.647 35.145)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a64,ES-2425,Infectious Disease - known pathogen,Diagnosed,2005-04-02,180672,TMMC,POINT (-121.951 36.614)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a63,ES-2856,Infectious Disease - non-specific,Diagnosed,2009-03-18,180672,TMMC,POINT (-120.646 35.145)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a62,ES-2650,Infectious Disease - known pathogen,Diagnosed,2007-08-18,180672,TMMC,POINT (-121.861 36.929)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a61,ES-2421,Infectious Disease - known pathogen,Diagnosed,2005-03-28,180672,TMMC,POINT (-120.661 35.146)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a60,07-180,Infectious Disease - known pathogen,Diagnosed,2007-05-10,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a5f,SWC-MA-09-101B,Infectious Disease - known pathogen,Diagnosed,2009-05-22,180672,SWC,POINT (-117.292264 33.03423)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a5e,07-204,Infectious Disease - known pathogen,Diagnosed,2007-05-22,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a5d,ES-2816,Trauma - other,Diagnosed,2008-05-11,180672,TMMC,POINT (-120.659 35.151)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a5c,ES-2458,Malnutrition,Suspected,2005-04-11,180672,TMMC,POINT (-122.063 36.944)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a5b,SWC-MA-08-32B,Infectious disease - non-specific,Suspected,2008-03-26,180672,SWC,POINT (-117.2980333 33.04738333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a5a,ES-3065,Malnutrition,Suspected,2010-04-01,180672,TMMC,POINT (-122.058 36.944)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a59,ES-3037,Malnutrition,Suspected,2010-03-22,180672,TMMC,POINT (-122.031 36.944)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a58,SWC-MA-09-90B,Infectious Disease - known pathogen,Diagnosed,2009-05-10,180672,SWC,POINT (-117.305653 33.065053)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a57,ES-2496,Infectious Disease - known pathogen,Diagnosed,2005-06-03,180672,TMMC,POINT (-122.037 36.945)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a56,07-203,Trauma - other,Diagnosed,2007-05-22,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a55,ES-2811,Infectious Disease - known pathogen,Diagnosed,2008-04-28,180672,TMMC,POINT (-120.679 35.158)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a54,ES-3009,Malnutrition,Diagnosed,2010-03-14,180672,TMMC,POINT (-122.037 36.945)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a53,ES-3009,Other,Diagnosed,2010-03-14,180672,TMMC,POINT (-122.037 36.945)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a52,ES-2554,Trauma - other,Suspected,2006-04-07,180672,TMMC,POINT (-120.741 35.16)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a51,ES-2697,Infectious Disease - known pathogen,Diagnosed,2007-04-28,180672,TMMC,POINT (-121.942 36.617)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a50,SWC-MA-08-39B,Unknown,Unknown,2008-04-06,180672,SWC,POINT (-117.310329 33.075615)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a4f,07-235,Infectious Disease - non-specific,Diagnosed,2007-06-13,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a4e,ES-2435,Infectious Disease - known pathogen,Diagnosed,2005-04-01,180672,TMMC,POINT (-122.026 36.946)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a4d,07-237,Infectious Disease - non-specific,Suspected,2007-06-15,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a4c,SWC-MA-06-96B,Infectious Disease - known pathogen,Diagnosed,2006-05-15,180672,SWC,POINT (-117.3161 33.0875)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a4b,07-252,Infectious Disease - non-specific,Diagnosed,2007-06-29,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a4a,SWC-MA-10-101B,Other,Unknown,2010-05-14,180672,SWC,POINT (-117.353021 33.157018)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a49,ES-2730,Trauma - other,Diagnosed,2008-03-09,180672,TMMC,POINT (-121.941 36.621)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a48,ES-2730,Other,Diagnosed,2008-03-09,180672,TMMC,POINT (-121.941 36.621)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a47,SWC-MA-08-37B,Other,Suspected,2008-04-01,180672,SWC,POINT (-117.3186333 33.09971667)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a46,SWC-MA-08-46B,Unknown,Unknown,2008-04-13,180672,SWC,POINT (-117.32015 33.10183333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a45,ES-2973,Unknown,Diagnosed,2010-02-12,180672,TMMC,POINT (-122.97738 37.99587)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a44,07-264,Other,Diagnosed,2007-07-12,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a43,SWC-MA-08-49B,Other,Suspected,2008-04-15,180672,SWC,POINT (-117.2521667 32.75333333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a42,ES-2504,Infectious Disease - known pathogen,Diagnosed,2005-06-29,180672,TMMC,POINT (-121.944 36.624)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a41,SWC-MA-06-50B,Infectious disease - non-specific,Suspected,2006-04-14,180672,SWC,POINT (-117.32285 33.10956667)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a40,07-272,Unknown,Unknown,2007-08-10,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a3f,ES-3111,Malnutrition,Suspected,2010-04-19,180672,TMMC,POINT (-121.977 36.948)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a3e,ES-2628,Trauma - other,Diagnosed,2007-03-10,180672,TMMC,POINT (-122.88 38.024)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a3d,ES-2974,Malnutrition,Suspected,2010-02-16,180672,TMMC,POINT (-122.955 38.026)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a3c,ES-2436,Infectious Disease - known pathogen,Diagnosed,2005-04-01,180672,TMMC,POINT (-120.716 35.17)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a3b,ES-2992,Malnutrition,Suspected,2010-03-08,180672,TMMC,POINT (-120.716 35.17)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a3a,07-280R,Infectious Disease - non-specific,Diagnosed,2007-11-01,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a39,ES-2991,Malnutrition,Suspected,2010-03-08,180672,TMMC,POINT (-121.982 36.949)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a38,ES-3055,Malnutrition,Suspected,2010-03-27,180672,TMMC,POINT (-121.982 36.949)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a37,ES-3095,Trauma - other,Diagnosed,2010-04-11,180672,TMMC,POINT (-120.741 35.171)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a36,SWC-MA-06-86B,Infectious disease - non-specific,Suspected,2006-05-05,180672,SWC,POINT (-117.255 32.75516667)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a35,07-93R,Trauma - other,Diagnosed,2008-01-18,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a34,ES-2872,Other,Suspected,2009-03-26,180672,TMMC,POINT (-121.912 36.628)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a33,ES-2556,Malnutrition,Suspected,2006-03-29,180672,TMMC,POINT (-122.017 36.951)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a32,ES-3027,Malnutrition,Suspected,2010-03-19,180672,TMMC,POINT (-122.017 36.951)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a31,ES-3080,Malnutrition,Suspected,2010-04-06,180672,TMMC,POINT (-122.017 36.951)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a30,ES-2598,Other,Diagnosed,2006-05-27,180672,TMMC,POINT (-121.942 36.636)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a2f,ES-2667,Unknown,Diagnosed,2007-04-04,180672,TMMC,POINT (-120.731 35.177)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a2e,ES-2801,Trauma - other,Suspected,2008-04-21,180672,TMMC,POINT (-120.73 35.177)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a2d,ES-2960,Infectious Disease - known pathogen,Diagnosed,2009-05-31,180672,TMMC,POINT (-120.734 35.178)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a2c,ES-2599,Malnutrition,Diagnosed,2006-06-04,180672,TMMC,POINT (-121.902 36.951)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a2b,ES-2599,Infectious Disease - non-specific,Diagnosed,2006-06-04,180672,TMMC,POINT (-121.902 36.951)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a2a,ES-2810,Infectious Disease - known pathogen,Diagnosed,2008-04-28,180672,TMMC,POINT (-120.735 35.179)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a29,ES-2774,Infectious Disease - non-specific,Diagnosed,2008-03-30,180672,TMMC,POINT (-122.084 36.952)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a28,ES-2820,Other,Diagnosed,2008-05-21,180672,TMMC,POINT (-120.735 35.179)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a27,ES-3015,Malnutrition,Suspected,2010-03-15,180672,TMMC,POINT (-120.735 35.179)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a26,ES-3059,Malnutrition,Suspected,2010-03-28,180672,TMMC,POINT (-120.846 35.201)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a25,ES-2492,Infectious Disease - known pathogen,Diagnosed,2005-05-28,180672,TMMC,POINT (-121.93 36.642)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a24,ES-2976,Malnutrition,Suspected,2010-02-20,180672,TMMC,POINT (-121.93 36.642)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a23,ES-3042,Malnutrition,Suspected,2010-03-25,180672,TMMC,POINT (-120.9 35.275)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a22,ES-3062,Malnutrition,Suspected,2010-03-29,180672,TMMC,POINT (-121.824 36.666)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a21,SWC-MA-06-81B,Infectious disease - non-specific,Suspected,2006-05-03,180672,SWC,POINT (-117.2416667 32.75633333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a20,08-47,Other,Suspected,2008-03-14,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a1f,ES-2853,Malnutrition,Suspected,2009-03-18,180672,TMMC,POINT (-121.878 36.952)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a1e,ES-2449,Infectious Disease - known pathogen,Diagnosed,2005-04-06,180672,TMMC,POINT (-122.013 36.953)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a1d,ES-2954,Infectious Disease - known pathogen,Diagnosed,2009-05-24,180672,TMMC,POINT (-122.013 36.953)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a1c,ES-3017,Malnutrition,Suspected,2010-03-16,180672,TMMC,POINT (-122.013 36.953)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a1b,SWC-MA-06-116B,Malnutrition,Suspected,2006-06-10,180672,SWC,POINT (-117.3258 33.11658333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a1a,08-50,Unknown,Unknown,2008-03-14,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a19,08-51,Malnutrition,Suspected,2008-03-15,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a18,SWC-MA-07-09B,Infectious Disease - known pathogen,Diagnosed,2007-01-18,180672,SWC,POINT (-117.2529333 32.75936667)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a17,ES-2669,Infectious Disease - known pathogen,Diagnosed,2007-04-04,180672,TMMC,POINT (-120.882 35.288)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a16,ES-3006,Malnutrition,Diagnosed,2010-03-14,180672,TMMC,POINT (-121.813 36.701)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a15,08-54,Infectious Disease - non-specific,Suspected,2008-03-16,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a14,08-62,Malnutrition,Diagnosed,2008-03-18,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a13,ES-2885,Infectious Disease - non-specific,Suspected,2009-03-30,180672,TMMC,POINT (-121.813 36.705)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a12,08-69,Malnutrition,Diagnosed,2008-03-20,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a11,ES-2629,Malnutrition,Suspected,2007-03-10,180672,TMMC,POINT (-120.871 35.31)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a10,ES-3031,Malnutrition,Suspected,2010-03-20,180672,TMMC,POINT (-121.813 36.754)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a0f,08-76,Malnutrition,Diagnosed,2008-03-22,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a0e,08-75,Infectious Disease - non-specific,Suspected,2008-03-22,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a0d,08-80,Malnutrition,Diagnosed,2008-03-23,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a0c,ES-3071,Malnutrition,Suspected,2010-04-03,180672,TMMC,POINT (-121.806 36.774)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a0b,08-83,Malnutrition,Diagnosed,2008-03-25,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a0a,ES-3043,Malnutrition,Suspected,2010-03-23,180672,TMMC,POINT (-121.804 36.778)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a09,ES-2498,Other,Diagnosed,2005-06-09,180672,TMMC,POINT (-121.799 36.79)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a08,SWC-MA-09-91B,Infectious disease - non-specific,Suspected,2009-05-10,180672,SWC,POINT (-117.22275 32.76665)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a07,ES-2498,Infectious Disease - known pathogen,Diagnosed,2005-06-09,180672,TMMC,POINT (-121.799 36.79)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a06,08-90,Infectious Disease - non-specific,Diagnosed,2008-03-28,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a05,ES-2887,Malnutrition,Suspected,2009-03-30,180672,TMMC,POINT (-120.87 35.361)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a04,08-89,Neoplasia,Diagnosed,2008-03-28,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a03,ES-2695,Other,Diagnosed,2007-04-17,180672,TMMC,POINT (-121.793 36.792)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a02,ES-2695,Infectious Disease - non-specific,Diagnosed,2007-04-17,180672,TMMC,POINT (-121.793 36.792)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a01,ES-2472,Infectious Disease - non-specific,Suspected,2005-04-22,180672,TMMC,POINT (-121.797 36.794)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-7a00,ES-2581,Other,Diagnosed,2006-04-13,180672,TMMC,POINT (-121.796 36.798)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79ff,ES-2985,Malnutrition,Suspected,2010-03-04,180672,TMMC,POINT (-122.01 36.953)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79fe,ES-2581,Malnutrition,Diagnosed,2006-04-13,180672,TMMC,POINT (-121.796 36.798)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79fd,SWC-MA-08-51B,Unknown,Unknown,2008-04-17,180672,SWC,POINT (-117.336746 33.132009)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79fc,08-93,Malnutrition,Suspected,2008-03-29,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79fb,ES-2559,Malnutrition,Suspected,2006-03-30,180672,TMMC,POINT (-121.793 36.801)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79fa,ES-3124,Infectious Disease - known pathogen,Diagnosed,2010-05-04,180672,TMMC,POINT (-122.968 38.25)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79f9,08-99,Malnutrition,Diagnosed,2008-03-30,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79f8,SWC-MA-07-150B,Infectious Disease - known pathogen,Diagnosed,2007-06-17,180672,SWC,POINT (-117.2485 32.77216667)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79f7,08-106,Malnutrition,Suspected,2008-04-04,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79f6,08-112,Other,Diagnosed,2008-04-09,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79f5,08-113,Unknown,Unknown,2008-04-09,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79f4,ES-2951,Infectious Disease - known pathogen,Diagnosed,2009-05-13,180672,TMMC,POINT (-122.008 36.954)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79f3,ES-2943,Infectious Disease - known pathogen,Diagnosed,2009-04-29,180672,TMMC,POINT (-123.577 38.801)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79f2,08-118,Malnutrition,Diagnosed,2008-04-11,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79f1,ES-2854,Malnutrition,Diagnosed,2009-03-18,180672,TMMC,POINT (-120.871 35.369)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79f0,08-133,Malnutrition,Diagnosed,2008-04-17,180672,FMMMCC,POINT (-118.410645 33.870264)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79ef,ES-2477,Infectious Disease - known pathogen,Diagnosed,2005-05-01,180672,TMMC,POINT (-123.7694 39.1919)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79ee,SWC-MA-08-69B,Infectious Disease - known pathogen,Diagnosed,2008-05-11,180672,SWC,POINT (-117.3533333 33.15416667)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79ed,SWC-MA-08-123B,Infectious disease - non-specific,Suspected,2008-11-04,180672,SWC,POINT (-117.280934 32.830991)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79ec,ES-2948,Infectious Disease - known pathogen,Diagnosed,2009-05-06,180672,TMMC,POINT (-121.958 36.955)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79eb,ES-2854,Other,Diagnosed,2009-03-18,180672,TMMC,POINT (-120.871 35.369)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79ea,ES-3094,Malnutrition,Suspected,2010-04-10,180672,TMMC,POINT (-121.958 36.955)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79e9,ES-3094,Infectious Disease - non-specific,Suspected,2010-04-10,180672,TMMC,POINT (-121.958 36.955)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79e8,ES-2841,Malnutrition,Suspected,2009-03-08,180672,TMMC,POINT (-121.88 36.955)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79e7,SWC-MA-09-84B,Infectious Disease - known pathogen,Diagnosed,2009-05-05,180672,SWC,POINT (-117.3521 33.15666667)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79e6,ES-2782,Infectious Disease - non-specific,Diagnosed,2008-04-03,180672,TMMC,POINT (-123.792 39.273)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79e5,ES-2571,Malnutrition,Suspected,2006-04-08,180672,TMMC,POINT (-121.91 36.957)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79e4,SWC-MA-06-104-B,Infectious disease - non-specific,Diagnosed,2006-05-26,180672,SWC,POINT (-117.2546167 32.78856667)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79e3,SWC-MA-06-35B,Infectious disease - non-specific,Suspected,2006-04-01,180672,SWC,POINT (-117.257 32.79075)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79e2,ES-2986,Malnutrition,Suspected,2010-03-06,180672,TMMC,POINT (-120.864 35.369)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79e1,ES-2455,Infectious Disease - known pathogen,Diagnosed,2005-04-08,180672,TMMC,POINT (-121.792 36.805)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79e0,ES-2488,Infectious Disease - known pathogen,Diagnosed,2005-05-23,180672,TMMC,POINT (-121.792 36.805)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79df,ES-2945,Malnutrition,Diagnosed,2009-04-30,180672,TMMC,POINT (-121.792 36.805)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79de,ES-2766,Malnutrition,Suspected,2008-03-27,180672,TMMC,POINT (-121.985 36.958)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79dd,SWC-MA-06-39B,Unknown,Unknown,2006-04-04,180672,SWC,POINT (-117.2547 32.7915)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79dc,ES-2558,Malnutrition,Diagnosed,2006-03-30,180672,TMMC,POINT (-123.8252 39.3639)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79db,SWC-MA-08-08B,Infectious disease - non-specific,Suspected,2008-01-14,180672,SWC,POINT (-117.2559333 32.79438333)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79da,SWC-MA-07-85B,Unknown,Unknown,2007-04-30,180672,SWC,POINT (-117.3770167 33.18555)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79d9,ES-2936,Infectious Disease - non-specific,Diagnosed,2009-04-23,180672,TMMC,POINT (-123.81 39.431)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79d8,SWC-MA-09-119B,Infectious Disease - known pathogen,Diagnosed,2009-06-06,180672,SWC,POINT (-117.2582667 32.79845)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79d7,ES-2748,Malnutrition,Suspected,2008-03-24,180672,TMMC,POINT (-120.864 35.373)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79d6,SWC-MA-06-98B,Infectious disease - non-specific,Suspected,2006-05-18,180672,SWC,POINT (-117.38347 33.193082)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79d5,ES-2464,Unknown,Diagnosed,2005-04-16,180672,TMMC,POINT (-122.122 36.96)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79d4,ES-2465,Infectious Disease - known pathogen,Diagnosed,2005-04-17,180672,TMMC,POINT (-122.122 36.96)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79d3,ES-2470,Infectious Disease - known pathogen,Diagnosed,2005-04-20,180672,TMMC,POINT (-122.122 36.96)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79d2,ES-2839,Malnutrition,Suspected,2009-03-06,180672,TMMC,POINT (-122.122 36.96)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79d1,ES-2736,Trauma - other,Suspected,2008-03-15,180672,TMMC,POINT (-120.861 35.376)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79d0,ES-2927,Infectious Disease - known pathogen,Diagnosed,2009-04-19,180672,TMMC,POINT (-121.949 36.96)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79cf,SWC-MA-10-131B,Other,Suspected,2010-05-20,180672,SWC,POINT (-117.280941 32.830832)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79ce,SWC-MA-08-26B,Infectious Disease - known pathogen,Diagnosed,2008-03-10,180672,SWC,POINT (-117.281505 32.834611)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79cd,ES-2852,Trauma - other,Diagnosed,2009-03-17,180672,TMMC,POINT (-121.822 36.239)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79cc,ES-2920,Infectious Disease - known pathogen,Diagnosed,2009-04-16,180672,TMMC,POINT (-122.127 36.962)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79cb,ES-2701,Malnutrition,Diagnosed,2007-05-29,180672,TMMC,POINT (-121.818 36.239)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79ca,SWC-MA-06-93B,Infectious disease - non-specific,Suspected,2006-04-13,180672,SWC,POINT (-117.350794 33.153991)
mmhmap_secoora_json.fid-c2a1a09_17a6db039ae_-79c9,ES-2813,Unknown,Suspected,2008-05-02,180672,TMMC,POINT (-121.859 36.282)
